id_person,Season,classifica,Category,league_nam,team_name,team_id,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
25,1999,AAA,MiLB,International,Indianapolis,1999_International_Indianapolis,49,0,0,0,0,0,0,0,0,0
125,2013,AAA,MiLB,International,Indianapolis,2013_International_Indianapolis,1,0,0,0,0,0,0,0,0,0
125,2014,AAA,MiLB,International,Indianapolis,2014_International_Indianapolis,21,0,0,0,0,0,0,0,0,0
125,2015,AAA,MiLB,International,Indianapolis,2015_International_Indianapolis,13,0,0,0,0,0,0,0,0,0
755,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,0,0,2,0,0,0,15,8,0,7
763,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
775,2004,AAA,MiLB,International,Indianapolis,2004_International_Indianapolis,0,0,1,32,9,0,6,0,0,0
795,2010,AAA,MiLB,International,Indianapolis,2010_International_Indianapolis,19,0,0,0,0,0,0,0,0,0
795,2011,AAA,MiLB,International,Indianapolis,2011_International_Indianapolis,30,0,0,0,0,0,0,0,0,0
795,2012,AAA,MiLB,International,Indianapolis,2012_International_Indianapolis,14,0,0,0,0,0,0,0,0,0
837,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,11,0,0,0,0,0,0,0,0,0
837,2016,AAA,MiLB,International,Indianapolis,2016_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
854,1982,AAA,MiLB,American Association,Indianapolis,1982_AmericanAssociation_Indianapolis,5,0,0,0,0,0,0,0,0,0
854,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,45,0,0,0,0,0,0,0,0,0
1211,1995,AAA,MiLB,American Association,Indianapolis,1995_AmericanAssociation_Indianapolis,0,0,0,0,1,3,0,0,0,0
1211,1997,AAA,MiLB,American Association,Indianapolis,1997_AmericanAssociation_Indianapolis,0,0,0,0,1,54,0,0,0,0
1341,2012,AAA,MiLB,International,Indianapolis,2012_International_Indianapolis,17,0,0,0,0,0,0,0,0,0
1424,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,12,0,0,0,0,0,0,0,0,0
1424,2007,AAA,MiLB,International,Indianapolis,2007_International_Indianapolis,46,0,0,0,0,0,0,0,0,0
1424,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,51,0,0,0,0,0,0,0,0,0
1609,1969,AAA,MiLB,American Association,Indianapolis,1969_AmericanAssociation_Indianapolis,0,0,0,100,3,0,2,0,0,0
1609,1970,AAA,MiLB,American Association,Indianapolis,1970_AmericanAssociation_Indianapolis,0,0,0,94,0,0,4,0,0,0
1685,1984,AAA,MiLB,American Association,Indianapolis,1984_AmericanAssociation_Indianapolis,58,0,0,0,0,0,0,0,0,0
1838,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,1,0,0,0,0,0,0,0,0,0
1838,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,4,0,0,0,0,0,0,0,0,0
1914,1989,AAA,MiLB,American Association,Indianapolis,1989_AmericanAssociation_Indianapolis,0,0,0,0,0,0,2,0,0,0
1914,1990,AAA,MiLB,American Association,Indianapolis,1990_AmericanAssociation_Indianapolis,0,0,9,0,0,0,60,0,0,0
1960,1960,AAA,MiLB,American Association,Indianapolis,1960_AmericanAssociation_Indianapolis,0,0,0,0,0,0,0,0,0,0
2235,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,0,0,0,21,5,15,35,0,0,0
2253,2013,AAA,MiLB,International,Indianapolis,2013_International_Indianapolis,0,0,0,0,0,0,68,38,1,32
2290,2001,AAA,MiLB,International,Indianapolis,2001_International_Indianapolis,0,0,81,0,0,0,0,0,0,0
2484,1987,AAA,MiLB,American Association,Indianapolis,1987_AmericanAssociation_Indianapolis,0,0,0,0,111,0,3,0,0,0
2759,2003,AAA,MiLB,International,Indianapolis,2003_International_Indianapolis,5,0,0,0,0,0,0,0,0,0
2854,1965,AAA,MiLB,Pacific Coast,Indianapolis,1965_PacificCoast_Indianapolis,4,0,0,0,0,0,0,0,0,0
2957,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,0,0,0,12,12,0,0,0,0,0
2982,1997,AAA,MiLB,American Association,Indianapolis,1997_AmericanAssociation_Indianapolis,26,0,0,0,0,0,0,0,0,0
2982,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,61,0,0,0,0,0,0,0,0,0
3245,1968,AAA,MiLB,Pacific Coast,Indianapolis,1968_PacificCoast_Indianapolis,20,0,0,0,1,0,0,0,0,0
3269,2010,AAA,MiLB,International,Indianapolis,2010_International_Indianapolis,0,0,0,3,1,0,86,74,2,10
3423,1994,AAA,MiLB,American Association,Indianapolis,1994_AmericanAssociation_Indianapolis,0,0,0,0,0,0,88,0,0,0
3570,1977,AAA,MiLB,American Association,Indianapolis,1977_AmericanAssociation_Indianapolis,0,0,0,0,0,0,0,0,0,0
3642,1987,AAA,MiLB,American Association,Indianapolis,1987_AmericanAssociation_Indianapolis,7,0,0,0,0,0,0,0,0,0
3673,2007,AAA,MiLB,International,Indianapolis,2007_International_Indianapolis,10,0,0,0,0,0,0,0,0,0
3673,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,13,0,0,0,0,0,0,0,0,0
3831,1997,AAA,MiLB,American Association,Indianapolis,1997_AmericanAssociation_Indianapolis,0,0,0,0,0,0,83,0,83,0
3831,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,0,0,0,0,0,0,44,0,44,0
3835,1977,AAA,MiLB,American Association,Indianapolis,1977_AmericanAssociation_Indianapolis,0,0,0,0,97,0,0,0,0,0
3835,1978,AAA,MiLB,American Association,Indianapolis,1978_AmericanAssociation_Indianapolis,0,0,0,67,38,0,0,0,0,0
3835,1979,AAA,MiLB,American Association,Indianapolis,1979_AmericanAssociation_Indianapolis,0,0,0,90,43,1,4,0,0,0
3835,1980,AAA,MiLB,American Association,Indianapolis,1980_AmericanAssociation_Indianapolis,0,0,0,1,113,18,0,0,0,0
3994,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,6,0,0,0,0,0,0,0,0,0
3994,1999,AAA,MiLB,International,Indianapolis,1999_International_Indianapolis,18,0,0,0,0,0,0,0,0,0
4135,1970,AAA,MiLB,American Association,Indianapolis,1970_AmericanAssociation_Indianapolis,0,0,0,0,0,9,0,0,0,0
4152,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,0,0,95,0,0,0,0,0,0,0
4312,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,0,0,28,0,0,0,0,0,0,0
4312,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,0,0,0,0,0,0,1,1,0,0
4421,1966,AAA,MiLB,Pacific Coast,Indianapolis,1966_PacificCoast_Indianapolis,24,0,0,0,0,0,0,0,0,0
4452,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,0,0,3,7,40,13,0,0,0,0
4452,2007,AAA,MiLB,International,Indianapolis,2007_International_Indianapolis,0,0,1,0,5,0,0,0,0,0
4728,1966,AAA,MiLB,Pacific Coast,Indianapolis,1966_PacificCoast_Indianapolis,0,16,0,0,0,0,0,0,0,0
4728,1968,AAA,MiLB,Pacific Coast,Indianapolis,1968_PacificCoast_Indianapolis,0,40,0,0,0,0,1,0,0,0
4728,1969,AAA,MiLB,American Association,Indianapolis,1969_AmericanAssociation_Indianapolis,0,19,0,0,0,0,0,0,0,0
4902,1981,AAA,MiLB,American Association,Indianapolis,1981_AmericanAssociation_Indianapolis,50,0,0,0,0,0,0,0,0,0
5016,1985,AAA,MiLB,American Association,Indianapolis,1985_AmericanAssociation_Indianapolis,0,25,0,0,0,0,0,0,0,0
5016,1986,AAA,MiLB,American Association,Indianapolis,1986_AmericanAssociation_Indianapolis,0,18,0,0,0,0,0,0,0,0
5016,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,0,27,0,0,0,0,0,0,0,0
5016,1990,AAA,MiLB,American Association,Indianapolis,1990_AmericanAssociation_Indianapolis,0,6,0,0,0,0,0,0,0,0
5016,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,0,42,6,0,0,0,0,0,0,0
5677,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,8,0,0,0,0,0,0,0,0,0
5684,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,0,0,0,0,0,0,20,0,20,0
5696,2007,AAA,MiLB,International,Indianapolis,2007_International_Indianapolis,0,0,0,0,0,0,92,13,54,26
5713,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,0,0,0,0,0,0,32,0,15,17
5713,2010,AAA,MiLB,International,Indianapolis,2010_International_Indianapolis,0,0,0,0,0,0,53,15,39,0
5713,2011,AAA,MiLB,International,Indianapolis,2011_International_Indianapolis,0,0,0,0,0,0,7,2,0,5
5713,2012,AAA,MiLB,International,Indianapolis,2012_International_Indianapolis,0,0,0,0,0,0,40,0,25,15
5713,2013,AAA,MiLB,International,Indianapolis,2013_International_Indianapolis,0,0,0,0,0,0,8,0,0,8
5713,2014,AAA,MiLB,International,Indianapolis,2014_International_Indianapolis,0,0,0,0,0,0,33,2,0,31
5713,2015,AAA,MiLB,International,Indianapolis,2015_International_Indianapolis,0,0,0,0,0,0,34,0,0,34
6125,1969,AAA,MiLB,American Association,Indianapolis,1969_AmericanAssociation_Indianapolis,20,0,0,0,0,0,0,0,0,0
6159,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,37,0,0,0,0,0,0,0,0,0
6159,2000,AAA,MiLB,International,Indianapolis,2000_International_Indianapolis,4,0,0,0,0,0,0,0,0,0
6182,2004,AAA,MiLB,International,Indianapolis,2004_International_Indianapolis,7,0,0,0,0,0,0,0,0,0
6304,1993,AAA,MiLB,American Association,Indianapolis,1993_AmericanAssociation_Indianapolis,0,0,0,0,0,0,19,0,0,0
6349,1999,AAA,MiLB,International,Indianapolis,1999_International_Indianapolis,0,0,7,16,31,0,0,0,0,0
6587,2003,AAA,MiLB,International,Indianapolis,2003_International_Indianapolis,23,0,0,0,0,0,0,0,0,0
6908,1974,AAA,MiLB,American Association,Indianapolis,1974_AmericanAssociation_Indianapolis,32,0,0,0,0,0,0,0,0,0
6908,1975,AAA,MiLB,American Association,Indianapolis,1975_AmericanAssociation_Indianapolis,27,0,0,0,0,0,0,0,0,0
6963,2013,AAA,MiLB,International,Indianapolis,2013_International_Indianapolis,2,0,0,0,0,0,0,0,0,0
7053,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,0,0,0,0,0,0,16,0,0,0
7084,1987,AAA,MiLB,American Association,Indianapolis,1987_AmericanAssociation_Indianapolis,0,0,92,0,0,0,4,0,0,0
7084,1988,AAA,MiLB,American Association,Indianapolis,1988_AmericanAssociation_Indianapolis,0,0,106,0,0,0,23,0,0,0
7104,2001,AAA,MiLB,International,Indianapolis,2001_International_Indianapolis,5,0,0,0,0,0,0,0,0,0
7178,1989,AAA,MiLB,American Association,Indianapolis,1989_AmericanAssociation_Indianapolis,6,0,0,0,0,0,0,0,0,0
7245,1984,AAA,MiLB,American Association,Indianapolis,1984_AmericanAssociation_Indianapolis,0,0,16,0,0,0,15,0,0,0
7259,1978,AAA,MiLB,American Association,Indianapolis,1978_AmericanAssociation_Indianapolis,0,0,33,0,114,0,0,0,0,0
7259,1979,AAA,MiLB,American Association,Indianapolis,1979_AmericanAssociation_Indianapolis,0,0,15,0,60,0,0,0,0,0
7317,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,0,0,0,0,0,0,17,15,2,0
7331,2013,AAA,MiLB,International,Indianapolis,2013_International_Indianapolis,0,0,0,68,11,6,0,0,0,0
7529,1982,AAA,MiLB,American Association,Indianapolis,1982_AmericanAssociation_Indianapolis,8,0,0,0,0,0,0,0,0,0
7529,1983,AAA,MiLB,American Association,Indianapolis,1983_AmericanAssociation_Indianapolis,28,0,0,0,0,0,0,0,0,0
7529,1984,AAA,MiLB,American Association,Indianapolis,1984_AmericanAssociation_Indianapolis,14,0,0,0,0,0,0,0,0,0
7564,2004,AAA,MiLB,International,Indianapolis,2004_International_Indianapolis,0,0,0,31,31,52,1,0,0,0
7627,1984,AAA,MiLB,American Association,Indianapolis,1984_AmericanAssociation_Indianapolis,0,0,0,0,0,0,51,0,0,0
7991,1994,AAA,MiLB,American Association,Indianapolis,1994_AmericanAssociation_Indianapolis,23,0,0,0,0,0,0,0,0,0
8271,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,8,0,0,0,0,0,0,0,0,0
8271,2009,AAA,MiLB,International,Indianapolis,2009_International_Indianapolis,24,0,0,0,0,0,0,0,0,0
8271,2010,AAA,MiLB,International,Indianapolis,2010_International_Indianapolis,13,0,0,0,0,0,0,0,0,0
8271,2012,AAA,MiLB,International,Indianapolis,2012_International_Indianapolis,36,0,0,0,0,0,0,0,0,0
8655,1967,AAA,MiLB,Pacific Coast,Indianapolis,1967_PacificCoast_Indianapolis,0,0,10,0,0,0,89,0,0,0
8671,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,0,0,0,0,0,0,22,0,14,8
8671,1999,AAA,MiLB,International,Indianapolis,1999_International_Indianapolis,0,0,0,0,0,0,113,52,55,11
8704,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,7,0,0,0,0,0,0,0,0,0
8704,1992,AAA,MiLB,American Association,Indianapolis,1992_AmericanAssociation_Indianapolis,2,0,0,0,0,0,0,0,0,0
8813,2014,AAA,MiLB,International,Indianapolis,2014_International_Indianapolis,25,0,0,0,0,0,0,0,0,0
8878,2010,AAA,MiLB,International,Indianapolis,2010_International_Indianapolis,5,0,0,0,0,0,0,0,0,0
8880,1990,AAA,MiLB,American Association,Indianapolis,1990_AmericanAssociation_Indianapolis,23,0,0,0,0,0,0,0,0,0
8880,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,6,0,0,0,0,0,0,0,0,0
8880,1993,AAA,MiLB,American Association,Indianapolis,1993_AmericanAssociation_Indianapolis,3,0,0,0,0,0,0,0,0,0
8929,1960,AAA,MiLB,American Association,Indianapolis,1960_AmericanAssociation_Indianapolis,0,0,0,0,0,0,22,0,0,0
8977,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,0,0,0,38,3,51,1,0,0,1
9007,1965,AAA,MiLB,Pacific Coast,Indianapolis,1965_PacificCoast_Indianapolis,17,0,0,0,0,0,0,0,0,0
9129,1982,AAA,MiLB,American Association,Indianapolis,1982_AmericanAssociation_Indianapolis,1,0,7,0,0,0,20,0,0,0
9139,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,53,0,0,0,0,0,0,0,0,0
9171,1977,AAA,MiLB,American Association,Indianapolis,1977_AmericanAssociation_Indianapolis,0,0,11,0,0,0,71,0,0,0
9260,1982,AAA,MiLB,American Association,Indianapolis,1982_AmericanAssociation_Indianapolis,41,0,0,0,0,0,0,0,0,0
9260,1983,AAA,MiLB,American Association,Indianapolis,1983_AmericanAssociation_Indianapolis,6,0,0,0,0,0,0,0,0,0
9338,1998,AAA,MiLB,International,Indianapolis,1998_International_Indianapolis,0,0,0,0,0,0,77,2,19,63
9338,2004,AAA,MiLB,International,Indianapolis,2004_International_Indianapolis,0,1,0,0,0,0,57,0,0,0
9338,2005,AAA,MiLB,International,Indianapolis,2005_International_Indianapolis,0,0,0,0,0,0,60,22,1,41
9425,2000,AAA,MiLB,International,Indianapolis,2000_International_Indianapolis,1,0,0,0,0,0,0,0,0,0
9425,2001,AAA,MiLB,International,Indianapolis,2001_International_Indianapolis,32,0,0,0,0,0,1,1,0,0
