PoB_ID,City,State,Country,Region,Group,Lat,Long
DE_US,,DE,US,Northern America,Northern America,38.692045,-75.401331
Abbeville_LA_US,Abbeville,LA,US,Northern America,Northern America,31.571835,-85.250489
Abbeville_SC_US,Abbeville,SC,US,Northern America,Northern America,34.178172,-82.379015
Abbotsford_BC_CA,Abbotsford,BC,CA,Northern America,Northern America,49.05,-122.3
Aberdeen_MD_US,Aberdeen,MD,US,Northern America,Northern America,39.509556,-76.16412
Aberdeen_SD_US,Aberdeen,SD,US,Northern America,Northern America,45.464981,-98.487813
Aberdeen_WA_US,Aberdeen,WA,US,Northern America,Northern America,46.975371,-123.815722
Abilene_TX_US,Abilene,TX,US,Northern America,Northern America,32.446453,-99.733348
Abingdon_VA_US,Abingdon,VA,US,Northern America,Northern America,36.709579,-81.977488
Abington_MA_US,Abington,MA,US,Northern America,Northern America,42.104823,-70.945322
Abington_PA_US,Abington,PA,US,Northern America,Northern America,40.120666,-75.117951
AbingtonTownship_PA_US,Abington Township,PA,US,Northern America,Northern America,40.110168,-75.116722
AbitaSprings_LA_US,Abita Springs,LA,US,Northern America,Northern America,30.478526,-90.037575
Abonito_PR,Abonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
Abreus_CU,Abreus,,CU,Caribbean,Latin America and the Caribbean,22.277877,-80.570235
Abudare_VE,Abudare,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
Acaponeta_Nayarit_MX,Acaponeta,Nayarit,MX,Central America,Latin America and the Caribbean,22.493385,-105.361885
Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
Acarigua_PT,Acarigua,,PT,Southern Europe,Europe,39.430125,-8.560792
Acarigua_VE,Acarigua,,PT,Southern Europe,Europe,40.033265,-7.889626
Ackerman_MS_US,Ackerman,MS,US,Northern America,Northern America,33.311718,-89.171108
Acton_MA_US,Acton,MA,US,Northern America,Northern America,42.485093,-71.43284
Acula_Veracruz_MX,Acula,Veracruz,MX,Central America,Latin America and the Caribbean,18.506127,-95.774057
Acushnet_MA_US,Acushnet,MA,US,Northern America,Northern America,41.680659,-70.907816
Acworth_GA_US,Acworth,GA,US,Northern America,Northern America,34.065933,-84.67688
Ada_MN_US,Ada,MN,US,Northern America,Northern America,47.299689,-96.515346
Ada_OK_US,Ada,OK,US,Northern America,Northern America,34.774338,-96.678365
Adamanita_SaoPaulo_BR,Adamanita,Sao Paulo,BR,South America,Latin America and the Caribbean,-21.954981,-49.023235
Addison_NY_US,Addison,NY,US,Northern America,Northern America,42.102851,-77.233588
Adel_GA_US,Adel,GA,US,Northern America,Northern America,31.137136,-83.423494
Adelaide_SouthAustralia_AU,Adelaide,South Australia,AU,Australia and New Zealand,Oceania,-34.927428,138.599899
Adger_AL_US,Adger,AL,US,Northern America,Northern America,33.377056,-87.093606
Adrian_MI_US,Adrian,MI,US,Northern America,Northern America,41.897547,-84.037166
Advance_NC_US,Advance,NC,US,Northern America,Northern America,35.941248,-80.409222
Afton_MN_US,Afton,MN,US,Northern America,Northern America,44.902745,-92.783537
Agana_GU,Agana,,GU,Micronesia,Oceania,13.47274,144.75203
AganaHeights_GU,Agana Heights,,GU,Micronesia,Oceania,13.46554,144.746583
AgouraHills_CA_US,Agoura Hills,CA,US,Northern America,Northern America,34.136395,-118.774535
AguaBlanca_ElSeibo_DO,Agua Blanca,El Seibo,DO,Caribbean,Latin America and the Caribbean,18.8184,-69.055407
Aguada_PR,Aguada,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
AguadelaPalma_MonteCristi_DO,Agua de la Palma,Monte Cristi,DO,Caribbean,Latin America and the Caribbean,19.767881,-71.246282
AguadeLuis_MonteCristi_DO,Agua de Luis,Monte Cristi,DO,Caribbean,Latin America and the Caribbean,19.758296,-71.212746
Aguadilla_PR,Aguadilla,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
Aguadulce_Cocle_PA,Aguadulce,Cocle,PA,Central America,Latin America and the Caribbean,8.240336,-80.539634
AguaNegra_Yaracuy_VE,Agua Negra,Yaracuy,VE,South America,Latin America and the Caribbean,10.333333,-68.75
AguaPrieta_Sonora_MX,Agua Prieta,Sonora,MX,Central America,Latin America and the Caribbean,31.324593,-109.549131
AguaSantadelYuna_Duarte_DO,Agua Santa del Yuna,Duarte,DO,Caribbean,Latin America and the Caribbean,19.243456,-70.087743
