id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
177605,1979,Abonito_PR,Abonito,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
39076,1930,Abreus_CU,Abreus,,CU,Caribbean,Latin America and the Caribbean,22.277877,-80.570235
242686,1995,Abreus_CU,Abreus,,CU,Caribbean,Latin America and the Caribbean,22.277877,-80.570235
266893,1997,Abudare_VE,Abudare,,VE,South America,Latin America and the Caribbean,8.001871,-66.110932
125730,1982,Acaponeta_Nayarit_MX,Acaponeta,Nayarit,MX,Central America,Latin America and the Caribbean,22.493385,-105.361885
269595,1995,Acaponeta_Nayarit_MX,Acaponeta,Nayarit,MX,Central America,Latin America and the Caribbean,22.493385,-105.361885
12461,1986,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
29807,1989,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
48214,1986,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
48914,1988,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
52993,1978,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
58542,1980,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
78569,1988,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
96578,1978,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
98044,1989,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
106472,1987,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
112008,1987,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
114138,1949,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
123176,1983,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
129829,1984,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
130171,1991,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
140024,1989,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
144392,1989,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
154019,1975,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
179597,1986,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
180164,1982,Acarigua_Portuguesa_VE,Acarigua,Portuguesa,VE,South America,Latin America and the Caribbean,9.558,-69.205043
